CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
31415,44490,60526,23400,26235,53523,75582,26100,34411
29156,43356,59430,22846,24565,52157,73913,24914,33150
27776,42706,59283,22679,23772,51613,73607,24399,32304
27063,42553,60556,23182,23586,52165,74886,24208,32010
26318,43602,64747,25146,23645,54340,80264,24318,32289
26422,46982,72378,28408,24247,59829,90283,25087,34720
27379,52268,76633,30583,25694,65175,95736,26905,39238
29594,54731,77506,31530,28688,67136,96381,29492,41161
32278,55468,77779,31962,31871,67842,97594,30199,41665
33645,56255,78053,32181,32540,68215,99087,29778,42730
33782,57479,77853,32320,31426,68277,100355,29272,43924
33862,57976,77495,32196,30197,68163,101286,28833,44608
33990,58086,77321,32154,28842,67825,102108,28419,44894
33909,58346,76868,31945,27833,67515,102651,28033,45275
33739,57996,76452,31976,27051,67003,102901,27793,45331
33940,58066,77121,32585,26520,66942,102941,27730,45740
34022,59211,78660,34051,26223,67693,103290,27849,46412
33979,60173,82256,35698,26179,69679,106697,28078,46769
33647,62303,83266,34921,26032,72127,110356,28350,47696
33811,62396,81475,33270,26611,71565,107503,29531,47944
36326,61263,78175,31185,28062,69627,102539,30613,47219
36430,58873,72598,28430,28266,66073,94758,30300,45392
35337,55613,67614,25850,27624,61990,86643,29123,42334
33284,52253,63910,24039,26103,58996,80409,27200,39000
30451,49955,61768,23032,24130,57171,76763,25532,36746
27878,49225,60763,22521,22598,56170,74656,24362,35711
26809,48686,60692,22341,21668,55954,73923,23691,35055
25918,49022,62227,22933,21375,56558,74997,23563,35119
25428,50196,66910,24996,21410,59228,79866,23695,35916
25438,53562,74919,28597,21905,64452,89625,24371,38910
26130,58443,79374,31046,23212,68626,96007,25977,43793
27995,59523,80908,32161,25787,70195,98585,28342,45618
30562,58504,81352,32690,28807,70431,100714,29009,45841
32217,57723,81195,32907,29695,70269,102726,28799,46423
32912,56988,80569,32901,29086,69892,103524,28496,46895
33438,55902,79797,32635,28409,68976,103770,28329,47013
33979,54866,79018,32481,27776,68136,103738,28129,46723
34222,54142,77895,32170,27145,67146,102972,27761,46516
34421,53312,76867,32129,26641,66020,101889,27578,45939
34757,52816,76911,32673,26393,65526,100958,27611,45804
34923,52753,78205,33919,26169,65646,100433,27738,46468
34798,53175,82032,35718,26170,67070,103153,27903,47033
34266,55371,84394,35054,26179,69935,106740,27889,48044
33941,56267,83531,33647,26690,69634,104829,28834,48056
35826,55707,81424,32043,27706,68080,101872,29688,47025
35545,54373,77608,29872,27344,65408,97201,29258,45365
34350,52319,73343,27611,26476,61899,91292,28242,43001
