Counter,id,operational_status,capacity_mw,technology_description,OEO_region
1485,4143,existing,0.3,Landfill Gas,SE
1486,4144,existing,0.3,Landfill Gas,SE
1487,4145,existing,0.3,Landfill Gas,SE
1488,4146,existing,0.3,Landfill Gas,SE
1489,4147,existing,0.3,Landfill Gas,SE
1492,4150,existing,1.6,Landfill Gas,SE
1493,4151,existing,1.6,Landfill Gas,SE
1494,4152,existing,1.6,Landfill Gas,SE
1506,4167,existing,21.8,Natural Gas Fired Combustion Turbine,CEN
1507,4168,existing,25.6,Natural Gas Fired Combustion Turbine,CEN
1510,4174,existing,2,Natural Gas Internal Combustion Engine,SW
1511,4175,existing,2,Natural Gas Internal Combustion Engine,SW
1512,4176,existing,2,Natural Gas Internal Combustion Engine,SW
1521,4186,existing,1.6,Landfill Gas,SE
1522,4187,existing,1.1,Landfill Gas,TX
1523,4188,existing,1.1,Landfill Gas,TX
1524,4189,existing,1.1,Landfill Gas,TX
1525,4190,existing,1.1,Landfill Gas,TX
1527,4192,existing,18.8,Natural Gas Internal Combustion Engine,CEN
1528,4193,existing,18.8,Natural Gas Internal Combustion Engine,CEN
1529,4194,existing,18.8,Natural Gas Internal Combustion Engine,CEN
1541,4207,existing,1.6,Landfill Gas,N_CEN
1542,4208,existing,1.6,Landfill Gas,N_CEN
1560,4235,existing,0.6,Petroleum Liquids,MID_AT
1561,4236,existing,0.6,Petroleum Liquids,MID_AT
1562,4237,existing,0.6,Petroleum Liquids,MID_AT
1563,4238,existing,0.6,Petroleum Liquids,MID_AT
1564,4239,existing,0.6,Petroleum Liquids,MID_AT
1565,4240,existing,0.6,Petroleum Liquids,MID_AT
1566,4241,existing,0.6,Petroleum Liquids,MID_AT
1567,4242,existing,0.6,Petroleum Liquids,MID_AT
1568,4243,existing,0.6,Petroleum Liquids,MID_AT
1569,4244,existing,0.6,Petroleum Liquids,MID_AT
1596,4274,existing,4.8,Landfill Gas,MID_AT
1607,4288,existing,1,Other Waste Biomass,N_CEN
1608,4289,existing,1,Other Waste Biomass,N_CEN
1610,4291,existing,4,Landfill Gas,CA
1636,4318,existing,1.6,Landfill Gas,NW
1666,4352,existing,5.6,Natural Gas Fired Combustion Turbine,NW
1694,4386,existing,4.3,Natural Gas Internal Combustion Engine,N_CEN
1695,4387,existing,4.3,Natural Gas Internal Combustion Engine,N_CEN
1696,4388,existing,4.3,Natural Gas Internal Combustion Engine,N_CEN
1702,4394,existing,3.4,Landfill Gas,CA
1703,4395,existing,3.4,Landfill Gas,CA
1704,4396,existing,3.4,Landfill Gas,CA
1705,4397,existing,3.4,Landfill Gas,CA
1706,4398,existing,3.4,Landfill Gas,CA
1707,4399,existing,3.4,Landfill Gas,CA
1708,4400,existing,3.4,Landfill Gas,CA
1716,4419,existing,1,Other Waste Biomass,CA
1724,4427,existing,1.6,Landfill Gas,SE
1731,4434,existing,1.6,Landfill Gas,N_CEN
1732,4435,existing,1.6,Landfill Gas,N_CEN
1733,4436,existing,1.6,Landfill Gas,N_CEN
1734,4437,existing,0.8,Landfill Gas,N_CEN
1735,4438,existing,0.8,Landfill Gas,N_CEN
1736,4439,existing,0.8,Landfill Gas,N_CEN
1737,4440,existing,0.8,Landfill Gas,N_CEN
1738,4441,existing,1.6,Landfill Gas,N_CEN
1750,4453,existing,2,Landfill Gas,N_CEN
1751,4454,existing,2,Landfill Gas,N_CEN
1752,4455,existing,2,Landfill Gas,N_CEN
1759,4470,existing,2.6,Petroleum Liquids,NE
1760,4471,existing,2.6,Petroleum Liquids,NE
