,id,operational_status,capacity_mw,technology_description,OEO_region
358,2720,existing,1.3,Solar Photovoltaic,SW
359,2721,existing,1.4,Solar Photovoltaic,MID_AT
360,2723,existing,2,Solar Photovoltaic,NE
361,2724,existing,2,Solar Photovoltaic,NE
362,2725,existing,1.6,Solar Photovoltaic,NE
363,2726,existing,1.7,Solar Photovoltaic,NE
364,2727,existing,1.7,Solar Photovoltaic,NE
368,2733,existing,1.8,Solar Photovoltaic,MID_AT
369,2734,existing,1,Solar Photovoltaic,MID_AT
370,2735,existing,6,Solar Photovoltaic,MID_AT
371,2737,existing,1.6,Solar Photovoltaic,MID_AT
372,2738,existing,7.4,Solar Photovoltaic,MID_AT
373,2739,existing,1.3,Solar Photovoltaic,MID_AT
374,2740,existing,1,Solar Photovoltaic,MID_AT
375,2741,existing,1.4,Solar Photovoltaic,MID_AT
376,2743,existing,2,Solar Photovoltaic,SE
377,2744,existing,4.5,Solar Photovoltaic,NE
378,2745,existing,1.6,Solar Photovoltaic,SE
380,2747,existing,4.9,Solar Photovoltaic,N_CEN
381,2748,existing,3.9,Solar Photovoltaic,N_CEN
384,2751,existing,2,Solar Photovoltaic,CA
385,2752,existing,3,Solar Photovoltaic,CA
386,2754,existing,8.8,Solar Photovoltaic,SE
387,2755,existing,15,Solar Photovoltaic,MID_AT
388,2761,existing,5,Solar Photovoltaic,SE
389,2762,existing,3.1,Solar Photovoltaic,MID_AT
390,2763,existing,1,Solar Photovoltaic,MID_AT
391,2765,existing,5,Solar Photovoltaic,SE
392,2766,existing,5,Solar Photovoltaic,SE
393,2768,existing,1.1,Solar Photovoltaic,MID_AT
394,2769,existing,6,Solar Photovoltaic,NE
395,2770,existing,15.4,Solar Photovoltaic,TX
396,2771,existing,1.3,Solar Photovoltaic,MID_AT
397,2772,existing,1.8,Solar Photovoltaic,MID_AT
398,2773,existing,1.3,Solar Photovoltaic,MID_AT
399,2774,existing,1.5,Solar Photovoltaic,MID_AT
403,2778,existing,2,Solar Photovoltaic,MID_AT
404,2779,existing,1,Solar Photovoltaic,MID_AT
405,2780,existing,12.8,Solar Photovoltaic,SW
406,2781,existing,3,Solar Photovoltaic,MID_AT
407,2782,existing,6.2,Solar Photovoltaic,MID_AT
408,2783,existing,5,Solar Photovoltaic,SE
410,2785,existing,1.5,Solar Photovoltaic,MID_AT
411,2786,existing,1,Solar Photovoltaic,NE
412,2787,existing,1,Solar Photovoltaic,NE
413,2788,existing,0.5,Solar Photovoltaic,NE
414,2789,existing,3,Solar Photovoltaic,NE
415,2790,existing,8.3,Solar Photovoltaic,MID_AT
416,2791,existing,1.3,Solar Photovoltaic,NE
417,2792,existing,1,Solar Photovoltaic,NE
418,2793,existing,2.3,Solar Photovoltaic,MID_AT
425,2800,existing,20,Solar Photovoltaic,NW
426,2801,existing,3.1,Solar Photovoltaic,MID_AT
427,2802,existing,2.5,Solar Photovoltaic,MID_AT
428,2803,existing,2,Solar Photovoltaic,CA
429,2804,existing,3,Solar Photovoltaic,CA
430,2805,existing,160,Onshore Wind Turbine,TX
432,2807,existing,19.7,Solar Photovoltaic,SE
433,2808,existing,2,Solar Photovoltaic,MID_AT
434,2809,existing,4.5,Solar Photovoltaic,MID_AT
435,2810,existing,2,Solar Photovoltaic,NE
436,2811,existing,6,Solar Photovoltaic,MID_AT
437,2812,existing,2,Solar Photovoltaic,NE
438,2813,existing,13.6,Solar Photovoltaic,MID_AT
439,2814,existing,6.8,Solar Photovoltaic,MID_AT
440,2815,existing,1.5,Solar Photovoltaic,MID_AT
441,2816,existing,8.2,Solar Photovoltaic,MID_AT
442,2817,existing,1,Solar Photovoltaic,NE
443,2818,existing,1,Solar Photovoltaic,NE
444,2819,existing,1.3,Solar Photovoltaic,NE
445,2820,existing,7.5,Solar Photovoltaic,MID_AT
446,2821,existing,7,Solar Photovoltaic,MID_AT
447,2822,existing,4.5,Solar Photovoltaic,MID_AT
451,2833,existing,1,Solar Photovoltaic,N_CEN
452,2834,existing,1,Solar Photovoltaic,N_CEN
453,2835,existing,1,Solar Photovoltaic,N_CEN
454,2836,existing,1,Solar Photovoltaic,N_CEN
455,2837,existing,1,Solar Photovoltaic,N_CEN
456,2838,existing,1,Solar Photovoltaic,N_CEN
457,2839,existing,1,Solar Photovoltaic,N_CEN
458,2840,existing,1,Solar Photovoltaic,N_CEN
459,2841,existing,1,Solar Photovoltaic,N_CEN
460,2842,existing,1,Solar Photovoltaic,N_CEN
461,2843,existing,1,Solar Photovoltaic,N_CEN
462,2844,existing,1,Solar Photovoltaic,N_CEN
463,2845,existing,1,Solar Photovoltaic,N_CEN
464,2846,existing,1,Solar Photovoltaic,N_CEN
465,2847,existing,1,Solar Photovoltaic,N_CEN
466,2848,existing,1,Solar Photovoltaic,N_CEN
467,2849,existing,1,Solar Photovoltaic,N_CEN
468,2850,existing,1,Solar Photovoltaic,N_CEN
469,2851,existing,1,Solar Photovoltaic,N_CEN
470,2852,existing,1,Solar Photovoltaic,N_CEN
471,2853,existing,1,Solar Photovoltaic,N_CEN
472,2854,existing,1,Solar Photovoltaic,N_CEN
473,2855,existing,1,Solar Photovoltaic,N_CEN
474,2856,existing,1,Solar Photovoltaic,N_CEN
475,2857,existing,1,Solar Photovoltaic,N_CEN
476,2858,existing,1,Solar Photovoltaic,N_CEN
477,2859,existing,1,Solar Photovoltaic,N_CEN
478,2860,existing,1,Solar Photovoltaic,N_CEN
479,2861,existing,1,Solar Photovoltaic,N_CEN
480,2862,existing,1,Solar Photovoltaic,N_CEN
481,2863,existing,1,Solar Photovoltaic,N_CEN
482,2864,existing,1,Solar Photovoltaic,N_CEN
483,2865,existing,2,Solar Photovoltaic,NE
485,2867,existing,3,Solar Photovoltaic,MID_AT
486,2868,existing,1.4,Solar Photovoltaic,MID_AT
487,2869,existing,2.8,Solar Photovoltaic,CEN
488,2870,existing,2.8,Solar Photovoltaic,CEN
489,2871,existing,2.8,Solar Photovoltaic,CEN
490,2872,existing,2.8,Solar Photovoltaic,CEN
493,2875,existing,18.4,Solar Photovoltaic,SE
500,2882,existing,5,Onshore Wind Turbine,NE
504,2889,existing,1,Solar Photovoltaic,N_CEN
505,2890,existing,1,Solar Photovoltaic,N_CEN
506,2891,existing,1,Solar Photovoltaic,N_CEN
507,2892,existing,1,Solar Photovoltaic,N_CEN
508,2893,existing,1,Solar Photovoltaic,N_CEN
509,2894,existing,1,Solar Photovoltaic,N_CEN
510,2895,existing,1,Solar Photovoltaic,N_CEN
511,2896,existing,1,Solar Photovoltaic,N_CEN
513,2901,existing,280.6,Onshore Wind Turbine,CEN
514,2902,existing,200,Onshore Wind Turbine,CEN
515,2903,existing,200,Onshore Wind Turbine,CEN
516,2904,existing,1,Solar Photovoltaic,CEN
517,2905,existing,0.2,Solar Photovoltaic,SW
518,2906,existing,0.2,Solar Photovoltaic,SW
519,2907,existing,0.1,Solar Photovoltaic,SW
520,2908,existing,1,Solar Photovoltaic,SW
521,2909,existing,1,Solar Photovoltaic,SW
523,2911,existing,50,Solar Photovoltaic,TX
524,2913,existing,7.4,Solar Photovoltaic,SE
525,2914,existing,10.6,Solar Photovoltaic,SE
526,2917,existing,2,Solar Photovoltaic,NE
528,2921,existing,200.9,Onshore Wind Turbine,CEN
529,2923,existing,2,Solar Photovoltaic,MID_AT
530,2924,existing,2,Solar Photovoltaic,MID_AT
