Region_Name,Output_Title,Output_value
SE,Iter 1: New VRE Cluster 9 CapCred,0.5
SE,Iter 2: New VRE Cluster 9 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 9 CapCred,0.5
SE,Iter 1: New VRE Cluster 10 ELCC (MW),500.0
SE,Iter 1: New VRE Cluster 10 CapCred,0.5
SE,Iter 2: New VRE Cluster 10 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 10 CapCred,0.5
SE,Iter 1: New VRE Cluster 11 ELCC (MW),500.0
SE,Iter 1: New VRE Cluster 11 CapCred,0.5
SE,Iter 2: New VRE Cluster 11 ELCC (MW),500.0
SE,Iter 2: New VRE Cluster 11 CapCred,0.5
MID_AT,Base Ls value (MW),27000.0
MID_AT,E_Solar_ELCC (MW),1000.0
MID_AT,E_Solar_CapCred,0.5682786838665682
MID_AT,E_On_Wind_ELCC (MW),500.0
MID_AT,E_On_Wind_CapCred,0.10948585442760793
MID_AT,Iter 1: New VRE Cluster 1 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 1 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 1 ELCC (MW),500.0
MID_AT,Iter 2: New VRE Cluster 1 CapCred,0.5
MID_AT,Iter 1: New VRE Cluster 2 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 2 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 2 ELCC (MW),500.0
MID_AT,Iter 2: New VRE Cluster 2 CapCred,0.5
MID_AT,Iter 1: New VRE Cluster 3 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 3 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 3 ELCC (MW),500.0
MID_AT,Iter 2: New VRE Cluster 3 CapCred,0.5
MID_AT,Iter 1: New VRE Cluster 4 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 4 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 4 ELCC (MW),500.0
MID_AT,Iter 2: New VRE Cluster 4 CapCred,0.5
MID_AT,Iter 1: New VRE Cluster 5 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 5 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 5 ELCC (MW),500.0
MID_AT,Iter 2: New VRE Cluster 5 CapCred,0.5
MID_AT,Iter 1: New VRE Cluster 6 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 6 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 6 ELCC (MW),500.0
MID_AT,Iter 2: New VRE Cluster 6 CapCred,0.5
MID_AT,Iter 1: New VRE Cluster 7 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 7 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 7 ELCC (MW),1000.0
MID_AT,Iter 2: New VRE Cluster 7 CapCred,1.0
MID_AT,Iter 1: New VRE Cluster 8 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 8 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 8 ELCC (MW),1000.0
MID_AT,Iter 2: New VRE Cluster 8 CapCred,1.0
MID_AT,Iter 1: New VRE Cluster 9 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 9 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 9 ELCC (MW),1000.0
MID_AT,Iter 2: New VRE Cluster 9 CapCred,1.0
MID_AT,Iter 1: New VRE Cluster 10 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 10 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 10 ELCC (MW),500.0
MID_AT,Iter 2: New VRE Cluster 10 CapCred,0.5
MID_AT,Iter 1: New VRE Cluster 11 ELCC (MW),500.0
MID_AT,Iter 1: New VRE Cluster 11 CapCred,0.5
MID_AT,Iter 2: New VRE Cluster 11 ELCC (MW),500.0
MID_AT,Iter 2: New VRE Cluster 11 CapCred,0.5
NE,Base Ls value (MW),15500.0
NE,E_Solar_ELCC (MW),500.0
NE,E_Solar_CapCred,0.6138735420503375
NE,E_On_Wind_ELCC (MW),500.0
NE,E_On_Wind_CapCred,0.15621582778767146
NE,Iter 1: New VRE Cluster 1 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 1 CapCred,0.5
NE,Iter 2: New VRE Cluster 1 ELCC (MW),500.0
NE,Iter 2: New VRE Cluster 1 CapCred,0.5
NE,Iter 1: New VRE Cluster 2 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 2 CapCred,0.5
NE,Iter 2: New VRE Cluster 2 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 2 CapCred,1.0
NE,Iter 1: New VRE Cluster 3 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 3 CapCred,0.5
NE,Iter 2: New VRE Cluster 3 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 3 CapCred,1.0
NE,Iter 1: New VRE Cluster 4 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 4 CapCred,0.5
NE,Iter 2: New VRE Cluster 4 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 4 CapCred,1.0
NE,Iter 1: New VRE Cluster 5 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 5 CapCred,0.5
NE,Iter 2: New VRE Cluster 5 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 5 CapCred,1.0
NE,Iter 1: New VRE Cluster 6 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 6 CapCred,0.5
NE,Iter 2: New VRE Cluster 6 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 6 CapCred,1.0
NE,Iter 1: New VRE Cluster 7 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 7 CapCred,0.5
NE,Iter 2: New VRE Cluster 7 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 7 CapCred,1.0
NE,Iter 1: New VRE Cluster 8 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 8 CapCred,0.5
NE,Iter 2: New VRE Cluster 8 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 8 CapCred,1.0
NE,Iter 1: New VRE Cluster 9 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 9 CapCred,0.5
NE,Iter 2: New VRE Cluster 9 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 9 CapCred,1.0
NE,Iter 1: New VRE Cluster 10 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 10 CapCred,0.5
NE,Iter 2: New VRE Cluster 10 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 10 CapCred,1.0
NE,Iter 1: New VRE Cluster 11 ELCC (MW),500.0
NE,Iter 1: New VRE Cluster 11 CapCred,0.5
NE,Iter 2: New VRE Cluster 11 ELCC (MW),1000.0
NE,Iter 2: New VRE Cluster 11 CapCred,1.0
